=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 16:42:51 =~=~=~=~=~=~=~=~=~=~=~=

Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
1.20 0.41 0.83 4.13 168.37
1.96 0.46 0.65 3.94 159.51
1.67 0.47 0.36 3.66 115.74
1.04 0.24 0.09 3.37 62.61
0.17 0.06 -0.14 3.13 3.41
-0.39 -0.04 -0.20 2.92 -22.41
-0.41 0.01 -0.23 2.74 -37.66
-0.15 0.11 -0.25 2.57 -50.12
-0.14 0.19 -0.25 2.38 -52.02
-0.08 0.25 -0.20 2.24 -43.70
0.07 0.24 -0.13 2.08 -22.84
0.16 0.19 -0.07 1.95 -3.58
0.21 0.14 -0.01 -0.15 85.74
-0.12 0.11 0.08 -0.12 102.76
-0.06 0.14 0.16 -0.23 125.61
0.15 0.17 0.22 -0.35 145.76
0.37 0.19 0.23 -0.50 158.97
0.53 0.14 0.20 -0.63 161.45
0.42 0.09 0.15 -0.80 157.40
0.71 0.07 0.09 -0.95 155.64
1.29 0.16 -0.05 -1.17 140.63
1.78 0.23 -0.30 -0.21 57.56
1.61 0.31 -0.51 -0.44 24.43
1.16 0.37 -0.64 -0.67 2.42
0.59 0.33 -0.67 -0.90 -1.28
0.43 0.29 -0.63 -1.17 10.46
0.41 0.27 -0.60 -1.42 21.81
0.48 0.17 -0.61 -1.62 22.41
0.48 0.12 -0.63 -1.81 18.89
0.31 0.24 -0.62 -2.00 18.82
0.12 0.19 -0.58 -2.20 28.87
0.06 0.10 -0.53 -2.35 37.31
0.04 0.02 -0.50 -2.49 41.55
0.09 0.00 -0.47 -2.62 44.68
0.12 0.09 -0.45 -2.75 48.76
0.09 0.14 -0.42 -2.88 54.70
0.20 0.24 -0.40 -2.98 58.93
0.22 0.30 -0.41 -3.07 56.65
0.17 0.27 -0.43 -3.16 50.37
0.08 0.18 -0.44 -3.25 44.14
0.11 0.21 -0.43 -3.32 44.33
0.21 0.17 -0.44 -3.39 41.16
0.19 0.03 -0.48 -3.46 29.25
0.02 0.06 -0.52 -3.51 12.77
0.00 0.24 -0.54 -3.55 2.50
-0.02 0.10 -0.55 -3.58 -5.56
-0.01 -0.16 -0.55 -3.59 -12.57
-0.22 0.13 -0.54 -3.59 -20.38
-0.58 0.40 -0.48 -3.57 -17.59
-0.65 0.49 -0.36 -3.53 0.17
-0.36 0.41 -0.24 -3.47 24.23
-0.27 0.12 -0.15 -3.41 42.39
0.53 0.03 -0.12 -3.36 57.61
1.01 0.06 -0.20 -3.34 50.62
0.96 0.17 -0.31 -3.34 34.57
0.76 0.25 -0.39 -3.36 20.52
0.49 0.20 -0.44 -3.37 11.69
0.15 0.14 -0.47 -3.39 2.09
0.09 0.15 -0.48 -3.40 -6.32
0.00 0.17 -0.51 -3.40 -19.44
-0.07 0.14 -0.53 -3.39 -31.73
-0.29 0.17 -0.53 -3.37 -41.99
-0.58 0.17 -0.48 -3.32 -42.92
-0.69 0.21 -0.41 -3.24 -41.77
-0.69 0.18 -0.34 -3.15 -38.41
-0.42 0.18 -0.29 -3.05 -33.40
-0.30 0.21 -0.27 -2.93 -36.71
-0.19 0.17 -0.26 -2.80 -43.27
-0.20 0.15 -0.27 -2.68 -50.65
-0.51 0.15 -0.24 -2.56 -55.47
-0.65 0.18 -0.18 -2.42 -52.19
-0.56 0.20 -0.09 -2.28 -37.76
-0.41 0.21 -0.02 -2.10 -26.84
-0.27 0.17 0.04 0.15 -89.12
-0.24 0.13 0.08 0.17 -77.29
-0.19 0.14 0.11 0.32 -71.27
-0.14 0.16 0.14 0.48 -66.55
-0.23 0.15 0.15 0.61 -65.79
-0.29 0.16 0.16 0.74 -66.88
-0.65 0.17 0.19 0.88 -67.74
-0.82 0.13 0.28 1.03 -54.37
-0.70 0.17 0.36 1.21 -43.26
-0.52 0.25 0.40 1.39 -38.10
-0.33 0.24 0.42 1.54 -34.28
-0.13 0.18 0.42 1.67 -31.72
-0.22 0.12 0.43 1.80 -29.53
-0.24 0.13 0.45 1.94 -24.53
-0.26 0.19 0.47 2.06 -17.73
-0.14 0.24 0.49 2.16 -10.79
-0.09 0.24 0.48 2.25 -8.53
-0.06 0.19 0.48 2.35 -6.89
0.06 0.16 0.46 2.43 -4.53
0.05 0.17 0.45 2.49 -4.16
0.07 0.18 0.42 2.54 -5.69
0.07 0.18 0.40 2.58 -6.74
0.04 0.19 0.38 2.60 -7.40
0.07 0.17 0.37 2.62 -4.85
0.11 0.19 0.35 2.64 -2.90
0.14 0.19 0.33 2.64 -2.61
0.17 0.18 0.32 2.63 -1.15
0.17 0.19 0.29 2.61 -0.60
0.17 0.18 0.28 2.58 0.97
0.17 0.17 0.26 2.54 2.74
0.21 0.18 0.25 2.50 4.39
0.19 0.20 0.22 2.46 4.17
0.16 0.19 0.20 2.41 2.70
0.12 0.19 0.19 2.34 3.70
0.10 0.19 0.18 2.28 4.85
0.10 0.20 0.17 2.22 6.22
0.14 0.20 0.16 2.15 7.78
0.13 0.21 0.15 2.08 9.82
0.12 0.20 0.15 2.02 13.86
0.11 0.20 0.16 1.95 19.75
0.15 0.21 0.17 1.88 25.46
0.15 0.20 0.17 1.77 31.06
0.13 0.20 0.17 1.69 35.02
0.13 0.19 0.17 1.62 39.32
0.15 0.20 0.17 1.53 44.01
0.17 0.21 0.17 1.45 49.21
0.17 0.20 0.17 1.34 54.97
0.16 0.18 0.18 1.25 61.54
0.22 0.19 0.19 1.16 69.46
0.24 0.22 0.18 1.04 75.39
0.22 0.20 0.18 0.92 81.68
0.16 0.19 0.18 0.82 87.08
0.56 0.21 0.16 0.70 93.66
0.90 0.14 0.11 0.57 96.18
0.96 0.14 0.00 0.42 83.18
0.92 0.13 -0.12 -0.20 80.77
0.67 0.14 -0.23 -0.37 60.58
0.26 0.12 -0.31 -0.57 40.53
0.27 0.18 -0.35 -0.72 30.50
0.13 0.37 -0.38 -0.87 21.15
-0.19 0.31 -0.36 -1.03 20.89
-0.29 0.30 -0.32 -1.14 23.67
-0.41 0.32 -0.26 -1.23 29.11
-0.17 0.29 -0.20 -1.30 42.26
0.43 0.19 -0.21 -1.39 44.27
0.79 0.09 -0.28 -1.52 36.60
0.83 0.25 -0.40 -1.62 14.79
0.58 0.37 -0.49 -1.73 -3.83
0.22 0.42 -0.53 -1.83 -15.04
-0.06 0.32 -0.49 -1.91 -12.51
-0.10 0.10 -0.43 -1.99 -2.25
0.08 -0.03 -0.37 -2.06 13.34
0.23 -0.09 -0.30 -2.12 31.76
0.16 -0.02 -0.27 -2.19 42.02
-0.05 0.14 -0.23 -2.25 49.57
-0.39 0.23 -0.17 -2.28 57.13
-0.73 0.20 -0.12 -2.30 56.26
-0.99 0.15 -0.07 -2.28 52.71
-0.92 0.10 0.01 0.04 -23.01
-1.17 0.03 0.03 0.08 -34.21
-1.19 0.11 0.02 0.09 -54.61
-1.46 0.16 0.03 0.15 -76.89
-1.76 0.18 0.07 0.16 -90.25
-1.83 0.08 0.15 0.20 -91.07
-1.75 0.07 0.28 0.47 -85.06
-1.63 0.12 0.39 0.72 -79.44
-1.35 0.15 0.48 0.98 -74.85
-1.08 0.13 0.57 1.25 -61.86
-0.69 0.14 0.65 1.51 -46.23
-0.22 0.17 0.70 1.86 -32.22
0.09 0.21 0.74 2.08 -12.24
-0.18 0.19 0.79 2.28 4.32
-0.24 0.18 0.87 2.46 32.09
-0.15 0.19 1.02 2.62 80.56
0.22 0.24 1.12 2.78 121.79
0.64 0.29 1.14 2.87 150.64
0.50 0.18 1.12 2.92 165.19
0.50 0.11 1.11 2.95 183.96
0.80 0.15 1.11 2.93 208.12
1.44 0.35 1.01 2.86 218.03
2.03 0.55 0.78 2.73 196.08
2.21 0.38 0.38 2.51 131.90
1.95 0.30 0.08 2.29 85.54
1.20 0.39 -0.15 2.04 41.66
0.97 0.21 -0.29 1.80 18.50
0.91 0.08 -0.41 1.49 0.77
0.56 0.30 -0.51 1.19 -20.15
0.45 0.16 -0.56 0.96 -32.28
0.51 -0.11 -0.56 0.73 -30.01
0.52 -0.27 -0.52 0.50 -15.99
0.36 -0.08 -0.49 0.29 -5.10
0.48 0.21 -0.43 0.04 15.42
0.43 0.10 -0.35 -0.16 40.47
0.50 0.03 -0.28 -0.41 67.24
0.70 0.22 -0.23 -0.61 92.80
0.60 0.61 -0.16 -0.82 118.69
1.19 0.79 -0.14 -1.09 143.84
1.42 0.73 -0.21 -1.34 149.84
1.02 0.41 -0.28 -1.60 144.76
1.59 0.21 -0.37 -1.88 145.28
1.12 0.10 -0.50 -2.22 125.44
0.98 0.39 -0.64 -2.56 100.19
1.40 0.10 -0.80 -2.86 73.14
1.41 -0.64 -0.96 -3.16 41.99
1.02 -0.30 -1.11 -3.51 11.42
0.87 -0.42 -1.24 -3.79 -21.28
0.05 -0.13 -1.31 -4.04 -52.35
0.27 0.02 -1.33 -4.26 -67.72
-0.17 0.84 -1.33 -4.48 -83.31
-0.54 0.78 -1.31 -4.65 -100.96
-0.78 0.72 -1.23 -4.75 -104.61
-0.74 0.28 -1.08 -4.80 -87.86
-0.59 0.32 -0.87 -4.83 -50.97
-0.29 0.01 -0.66 -4.84 -5.69
0.44 0.02 -0.59 -4.84 15.15
0.22 0.03 -0.55 -4.85 22.38
0.39 0.08 -0.46 -4.85 47.67
0.42 -0.09 -0.44 -4.86 57.83
0.29 -0.13 -0.45 -4.87 55.42
0.39 -0.06 -0.46 -4.88 52.63
0.44 0.10 -0.51 -4.89 42.36
0.28 0.23 -0.55 -4.91 31.10
0.10 0.35 -0.60 -4.91 12.44
0.26 0.12 -0.71 -4.91 -20.41
0.32 0.18 -0.82 -4.91 -53.39
-0.14 0.22 -0.93 -4.88 -96.68
-0.83 0.28 -0.96 -4.81 -129.72
-1.02 0.40 -0.91 -4.71 -143.27
-1.27 0.38 -0.84 -4.57 -153.50
-1.32 0.25 -0.75 -4.40 -161.49
-1.58 0.21 -0.65 -4.14 -167.87
-1.43 0.18 -0.43 -3.89 -138.55
-0.96 0.10 -0.20 -3.63 -93.59
-0.31 0.07 0.02 -3.27 -42.88
-0.27 0.07 0.12 0.25 -134.74
-0.29 0.09 0.18 0.49 -122.67
-0.45 0.12 0.26 0.72 -105.41
-0.56 0.19 0.32 1.00 -99.04
-0.83 0.17 0.37 1.24 -95.53
-1.03 0.11 0.45 1.48 -87.57
-1.06 0.13 0.52 1.73 -81.24
-1.05 0.24 0.58 2.04 -77.24
-0.75 0.41 0.65 2.34 -68.62
-0.33 0.28 0.67 2.58 -61.54
-0.22 0.12 0.67 2.80 -57.50
-0.21 0.20 0.68 3.01 -51.73
-0.25 0.30 0.71 3.19 -40.66
-0.13 0.15 0.75 3.40 -25.93
-0.01 0.05 0.75 3.55 -18.75
0.01 0.09 0.69 3.71 -27.56
-0.20 -0.06 0.63 3.83 -40.23
-0.38 0.01 0.60 3.97 -49.96
-0.29 0.05 0.60 4.08 -50.43
0.10 0.16 0.59 4.17 -43.95
0.33 0.29 0.57 4.24 -37.84
0.67 0.39 0.53 4.28 -30.76
0.79 0.04 0.44 4.29 -37.15
0.80 -0.10 0.41 4.27 -27.25
0.64 0.17 0.43 4.23 -5.93
0.67 0.24 0.42 4.17 7.77
1.02 0.28 0.35 4.08 7.98
1.22 0.18 0.23 3.93 2.63
0.77 0.18 0.13 3.80 -11.22
0.44 0.29 0.05 3.66 -24.42
0.56 0.40 0.00 -0.15 101.19
0.38 0.56 -0.04 -0.18 91.61
0.11 0.51 -0.06 -0.14 80.60
0.17 0.31 -0.07 -0.17 76.84
-0.06 0.11 -0.10 -0.13 62.02
-0.11 0.00 -0.14 -0.25 46.43
-0.05 -0.29 -0.20 -0.36 29.06
-0.05 -0.27 -0.25 -0.48 12.93
-0.33 0.12 -0.30 -0.56 -10.49
-0.23 0.28 -0.35 -0.63 -30.79
-0.14 0.35 -0.41 -0.68 -53.40
-0.10 0.30 -0.48 -0.72 -79.93
-0.17 0.20 -0.52 -0.75 -99.11
-0.32 0.07 -0.52 -0.76 -110.86
-0.53 0.02 -0.47 -0.74 -110.36
-0.67 0.02 -0.39 -0.71 -104.80
-0.57 0.18 -0.30 -0.64 -94.36
-0.53 0.20 -0.25 -0.56 -92.09
-0.53 0.09 -0.19 -0.48 -87.70
-0.72 -0.10 -0.08 -0.38 -72.19
-0.52 0.20 0.02 -0.25 -54.78
-0.23 0.71 0.06 0.11 -53.65
-0.05 0.50 0.04 0.10 -57.12
-0.31 0.25 0.03 0.10 -60.60
-0.61 0.07 0.07 0.11 -57.53
-0.64 0.16 0.09 0.17 -59.06
-0.85 -0.01 0.06 0.30 -80.44
-0.86 -0.07 0.03 0.15 -93.20
-0.48 0.06 -0.02 0.16 -111.36
-0.40 0.14 -0.07 0.16 -126.52
-0.62 0.24 -0.12 0.36 -153.26
-0.73 0.32 -0.13 0.54 -171.02
-0.74 0.29 -0.11 0.74 -179.61
-0.94 0.20 -0.05 0.99 -180.67
-1.31 0.21 0.10 0.28 -128.40
-1.10 -0.21 0.28 0.52 -96.01
-0.31 -0.02 0.47 0.74 -45.05
0.00 0.47 0.51 0.95 -28.79
0.48 0.86 0.51 1.17 -18.79
-0.05 0.69 0.47 1.33 -24.70
-0.39 0.28 0.50 1.49 -16.97
-0.51 -0.10 0.55 1.68 -8.46
-0.58 -0.16 0.57 1.83 -8.25
-0.29 -0.46 0.54 2.00 -15.31
-0.31 -0.35 0.50 2.13 -26.93
-0.16 0.25 0.45 2.26 -38.48
-0.07 0.43 0.38 2.38 -53.72
-0.29 0.40 0.32 2.49 -72.74
-0.43 0.09 0.28 2.63 -88.02
-0.51 -0.06 0.29 2.77 -92.06
-0.48 0.07 0.33 2.88 -86.63
0.11 0.44 0.39 2.99 -65.75
-0.08 0.77 0.40 3.10 -59.22
-0.27 0.44 0.45 3.19 -46.00
-0.54 0.35 0.56 3.28 -19.95
-0.59 0.30 0.69 3.37 10.78
-0.50 -0.11 0.76 3.45 28.77
-0.58 -0.01 0.78 3.57 32.83
-0.21 -0.22 0.79 3.64 38.46
-0.20 -0.07 0.77 3.70 37.65
0.11 -0.01 0.71 3.75 32.52
0.04 -0.01 0.66 3.78 25.28
-0.07 0.23 0.61 3.81 17.59
0.17 0.19 0.57 3.81 15.85
0.14 0.13 0.54 3.81 15.50
0.23 0.11 0.49 3.79 12.24
0.43 0.36 0.44 3.75 9.09
0.25 0.56 0.40 3.70 7.54
-0.07 0.61 0.38 3.65 4.70
-0.36 0.35 0.42 3.61 12.64
-0.43 0.22 0.48 3.57 28.68
-0.28 0.23 0.55 3.54 48.34
0.33 0.20 0.57 3.48 66.41
0.72 0.12 0.55 3.39 77.51
0.73 0.13 0.49 3.29 78.70
0.35 -0.05 0.41 3.18 67.72
0.04 0.05 0.33 3.07 51.74
-0.07 0.12 0.26 2.95 36.01
-0.14 0.14 0.22 2.84 22.91
-0.03 0.13 0.18 2.75 15.22
0.12 0.15 0.15 2.65 9.68
0.31 0.18 0.10 2.51 4.82
0.39 0.18 0.05 2.40 -0.61
0.24 0.17 0.02 -0.11 78.90
-0.24 0.21 0.02 -0.10 72.11
-0.34 0.18 0.08 -0.09 80.62
-0.07 0.22 0.16 -0.17 100.90
0.40 0.15 0.21 -0.28 124.12
0.65 0.09 0.21 -0.38 137.36
0.81 0.13 0.18 -0.53 147.55
0.71 0.19 0.12 -0.67 145.11
0.54 0.25 0.07 -0.85 140.93
0.30 0.27 0.04 -0.15 109.93
1.20 0.17 -0.02 -0.17 109.43
1.42 0.27 -0.21 -0.19 73.83
0.33 0.23 -0.40 -0.42 25.91
-0.13 0.12 -0.40 -0.59 18.59
-0.15 0.07 -0.34 -0.77 30.69
-0.25 0.12 -0.26 -0.90 44.76
-0.33 0.16 -0.20 -1.01 52.77
0.01 0.15 -0.15 -1.14 65.93
0.56 0.14 -0.15 -1.25 76.33
0.87 0.12 -0.18 -1.38 79.80
0.96 0.16 -0.24 -1.52 78.92
0.79 0.21 -0.28 -1.69 77.82
0.53 0.19 -0.28 -1.87 85.97
0.63 0.25 -0.28 -2.03 94.40
0.62 0.21 -0.33 -2.19 87.19
0.66 0.27 -0.40 -2.35 77.42
0.73 0.25 -0.48 -2.54 65.11
0.40 0.05 -0.56 -2.70 44.90
0.02 0.13 -0.60 -2.84 26.86
0.32 0.16 -0.63 -2.97 18.85
0.33 0.32 -0.65 -3.12 12.06
0.20 0.38 -0.66 -3.25 6.01
0.13 0.49 -0.67 -3.35 -1.28
-0.02 0.24 -0.65 -3.44 -0.70
-0.25 0.13 -0.58 -3.50 6.06
-0.48 0.24 -0.50 -3.54 15.76
-0.20 0.25 -0.40 -3.57 35.13
0.33 0.28 -0.36 -3.60 46.94
0.80 0.23 -0.40 -3.65 46.94
0.59 0.18 -0.49 -3.70 26.02
0.10 0.25 -0.54 -3.74 9.15
-0.11 0.16 -0.54 -3.77 2.44
-0.26 0.11 -0.50 -3.78 3.15
-0.14 0.05 -0.46 -3.78 7.18
-0.07 -0.04 -0.42 -3.77 13.17
0.06 0.01 -0.37 -3.75 21.88
0.30 0.10 -0.34 -3.74 31.28
0.32 0.19 -0.33 -3.73 36.46
0.34 0.21 -0.32 -3.73 41.91
0.16 0.21 -0.31 -3.72 43.46
0.17 0.11 -0.30 -3.72 45.29
0.34 0.08 -0.30 -3.72 48.18
0.38 0.17 -0.34 -3.72 41.87
0.26 0.20 -0.39 -3.73 28.02
0.21 0.22 -0.48 -3.73 3.70
-0.28 0.16 -0.53 -3.72 -21.68
-0.58 -0.04 -0.53 -3.68 -38.28
-0.76 0.11 -0.49 -3.61 -45.53
-0.69 0.29 -0.44 -3.53 -49.36
-0.52 0.32 -0.41 -3.43 -52.75
-0.58 0.38 -0.37 -3.30 -56.70
-0.44 0.38 -0.33 -3.17 -56.74
-0.31 0.40 -0.30 -3.02 -59.99
-0.28 0.34 -0.28 -2.88 -62.02
-0.56 0.20 -0.25 -2.73 -66.67
-0.41 0.14 -0.20 -2.55 -62.58
-0.40 0.12 -0.10 -2.39 -42.69
-0.46 0.10 0.00 -2.23 -24.75
-0.35 0.16 0.10 0.16 -81.43
0.19 0.16 0.17 0.33 -58.29
0.49 0.14 0.17 0.48 -48.20
0.46 0.16 0.14 0.58 -47.02
0.21 0.21 0.12 0.67 -47.73
-0.03 0.21 0.14 0.76 -42.33
-0.07 0.15 0.17 0.85 -35.49
-0.07 0.15 0.18 0.92 -30.55
-0.10 0.17 0.19 0.99 -28.33
-0.08 0.18 0.19 1.06 -28.61
-0.00 0.19 0.16 1.13 -33.25
0.02 0.21 0.13 1.19 -39.90
0.02 0.20 0.11 1.24 -46.36
0.11 0.18 0.07 1.29 -53.05
-0.08 0.21 0.06 0.04 -13.11
-0.30 0.19 0.08 0.05 -10.70
-0.17 0.15 0.11 0.06 -0.90
-0.01 0.20 0.12 0.10 1.53
0.08 0.21 0.10 0.14 -1.56
0.09 0.22 0.06 0.17 -11.14
0.02 0.21 0.02 0.03 -14.83
-0.07 0.17 -0.01 0.04 -23.26
-0.19 0.16 -0.03 0.03 -31.58
-0.26 0.19 -0.04 0.04 -37.58
-0.26 0.23 -0.05 0.04 -43.51
-0.22 0.21 -0.06 0.05 -50.38
-0.12 0.20 -0.08 0.07 -56.75
-0.24 0.19 -0.11 0.06 -66.27
-0.38 0.16 -0.12 0.12 -78.35
-0.40 0.17 -0.12 0.19 -85.58
-0.48 0.20 -0.12 0.28 -95.50
-0.64 0.16 -0.10 0.40 -103.58
-0.76 0.15 -0.07 0.51 -108.19
-0.81 0.16 -0.02 0.13 -91.96
-0.18 0.23 0.03 0.15 -77.35
-0.26 0.23 0.07 0.13 -67.15
0.28 0.30 0.09 0.13 -50.66
1.16 0.34 0.04 0.21 -44.41
1.46 0.27 -0.05 0.03 -36.62
1.56 0.14 -0.14 -0.00 -35.07
1.52 0.09 -0.21 -0.05 -30.27
1.70 0.20 -0.26 -0.13 -17.52
1.92 0.31 -0.34 -0.27 -7.23
1.98 0.31 -0.45 -0.42 -10.16
1.86 0.28 -0.57 -0.60 -14.86
1.70 0.23 -0.68 -0.85 -21.64
1.45 0.14 -0.82 -1.07 -43.09
1.08 0.13 -0.93 -1.29 -64.55
0.67 0.12 -1.03 -1.50 -88.41
0.26 0.21 -1.11 -1.70 -117.95
-0.15 0.22 -1.15 -1.92 -140.52
-0.58 0.15 -1.14 -2.04 -161.54
-0.94 0.17 -1.10 -2.11 -177.58
-1.23 -0.02 -1.02 -2.13 -186.43
-1.34 0.08 -0.87 -2.11 -177.54
-1.40 0.11 -0.73 -2.04 -171.20
-1.47 0.13 -0.55 -1.92 -155.14
-1.79 -0.08 -0.39 -1.73 -146.17
-1.34 0.11 -0.20 -1.50 -121.56
-1.07 0.59 -0.02 -1.30 -91.10
-1.07 0.76 0.07 0.26 -132.58
-1.37 0.25 0.19 0.51 -120.35
-1.41 0.38 0.30 0.77 -113.11
-1.04 0.29 0.36 1.04 -111.13
-1.31 -0.13 0.38 1.38 -128.02
-1.94 -0.33 0.41 1.69 -147.39
-1.55 -0.27 0.49 2.08 -149.58
-1.57 -0.34 0.56 2.42 -152.80
-1.20 -0.12 0.62 2.84 -154.39
-1.45 0.09 0.69 3.20 -153.89
-0.71 0.41 0.76 3.54 -138.48
-0.57 1.10 0.87 3.87 -109.68
-1.23 0.70 1.02 4.26 -82.23
-0.98 -0.08 1.22 4.65 -38.24
-0.88 -0.06 1.39 4.95 10.11
-0.58 0.39 1.44 5.23 27.49
-0.90 -0.53 1.47 5.55 32.00
-0.71 -0.62 1.44 5.80 25.16
0.23 -0.78 1.39 6.01 31.64
-0.27 0.06 1.30 6.19 16.22
-0.39 1.15 1.21 6.36 -2.53
-0.04 0.48 1.20 6.56 3.35
-0.95 0.77 1.18 6.70 -5.98
-0.62 0.24 1.22 6.83 7.08
0.29 -0.07 1.14 6.93 1.54
0.22 -0.39 1.00 7.00 -21.58
-0.47 -0.48 0.92 7.08 -41.70
-0.34 0.14 0.92 7.14 -38.91
-0.37 0.34 0.91 7.19 -37.47
-0.23 0.47 0.96 7.23 -17.20
0.03 0.94 1.01 7.25 6.60
0.26 0.65 1.09 7.24 44.01
0.23 0.42 1.13 7.21 71.28
0.08 0.48 1.12 7.17 81.62
0.52 -0.49 1.08 7.09 91.73
0.10 -0.80 1.07 6.98 102.46
0.09 -0.25 1.10 6.88 123.88
0.22 -0.05 1.11 6.73 143.46
1.03 0.22 1.03 6.57 150.05
0.88 0.35 0.83 6.35 121.78
0.97 0.87 0.57 6.13 75.13
1.30 0.90 0.39 5.90 52.41
1.26 0.24 0.21 5.63 27.77
0.96 -0.20 0.03 5.30 -1.53
0.63 -0.07 -0.06 -0.28 170.39
0.07 0.08 -0.06 -0.59 171.55
-0.29 0.21 0.01 -0.83 187.13
-0.25 0.34 0.05 -0.22 165.67
0.67 0.21 -0.01 -0.28 153.89
0.61 0.14 -0.20 -0.23 102.97
0.36 -0.05 -0.29 -0.46 80.19
-0.12 -0.07 -0.31 -0.66 70.43
-0.21 0.02 -0.25 -0.88 80.78
0.17 0.20 -0.20 -1.10 97.18
0.15 0.35 -0.20 -1.26 98.47
0.06 0.31 -0.22 -1.42 91.65
0.04 0.24 -0.24 -1.57 85.19
0.34 0.12 -0.27 -1.75 81.55
0.42 0.09 -0.33 -1.89 69.64
0.51 -0.05 -0.38 -2.03 59.57
0.56 0.04 -0.42 -2.17 53.97
0.42 0.19 -0.43 -2.37 55.80
0.44 0.33 -0.45 -2.51 55.34
0.27 0.41 -0.47 -2.64 49.48
0.23 0.27 -0.45 -2.76 52.39
0.29 0.09 -0.43 -2.88 59.65
0.42 0.14 -0.44 -3.01 59.43
0.62 0.26 -0.48 -3.13 56.13
0.62 0.30 -0.49 -3.25 57.48
0.51 0.27 -0.49 -3.39 62.47
0.51 0.25 -0.49 -3.51 67.00
0.50 0.29 -0.50 -3.65 67.81
0.56 0.24 -0.55 -3.77 57.68
0.29 0.13 -0.58 -3.88 50.40
0.02 0.16 -0.57 -3.98 47.07
0.14 0.12 -0.54 -4.06 52.74
0.28 -0.10 -0.56 -4.16 45.23
0.37 0.18 -0.61 -4.25 33.27
0.14 0.48 -0.62 -4.32 25.25
0.07 0.28 -0.61 -4.37 23.28
-0.06 0.09 -0.57 -4.42 27.08
-0.04 0.03 -0.52 -4.45 35.10
-0.01 0.05 -0.50 -4.48 33.79
-0.00 -0.03 -0.50 -4.49 29.47
-0.06 -0.08 -0.47 -4.49 30.90
-0.05 0.09 -0.45 -4.48 32.23
-0.01 0.21 -0.43 -4.47 32.85
-0.02 0.20 -0.43 -4.45 27.86
-0.08 0.27 -0.41 -4.42 27.91
0.29 0.65 -0.39 -4.39 32.96
0.37 0.47 -0.41 -4.37 29.48
0.25 0.12 -0.46 -4.35 16.75
-0.19 0.10 -0.45 -4.32 11.26
-0.00 0.09 -0.40 -4.27 18.89
0.14 0.01 -0.37 -4.24 23.98
0.15 0.06 -0.39 -4.20 19.11
-0.00 0.20 -0.38 -4.16 15.67
-0.10 0.25 -0.36 -4.11 16.09
-0.06 0.15 -0.33 -4.05 18.88
0.14 0.14 -0.34 -4.00 16.79
-0.06 0.16 -0.36 -3.95 6.82
-0.07 0.16 -0.37 -3.87 -1.90
-0.07 0.23 -0.38 -3.81 -9.06
-0.06 0.34 -0.37 -3.73 -14.31
-0.15 0.07 -0.37 -3.65 -20.11
-0.36 0.02 -0.36 -3.57 -27.75
-0.90 0.01 -0.32 -3.46 -35.85
-0.77 0.21 -0.25 -3.33 -32.05
-0.72 0.25 -0.20 -3.16 -34.91
-0.68 0.36 -0.16 -2.97 -38.86
-0.68 0.46 -0.11 -2.81 -37.71
-0.66 0.32 -0.05 -2.63 -32.58
-0.78 0.15 0.04 0.22 -116.77
-0.20 0.06 0.12 0.18 -88.11
0.32 0.06 0.12 0.34 -81.97
0.62 0.10 0.08 0.48 -82.19
0.44 0.21 0.05 0.59 -81.77
-0.19 0.27 0.08 0.16 -58.85
-0.45 0.24 0.16 0.12 -36.99
-0.40 0.11 0.27 0.24 -10.22
-0.42 0.03 0.34 0.35 4.64
-0.35 0.08 0.37 0.47 10.36
-0.20 0.20 0.35 0.60 3.49
-0.16 0.29 0.32 0.70 -3.33
-0.21 0.27 0.30 0.80 -8.38
-0.18 0.17 0.29 0.91 -12.87
-0.13 0.12 0.29 1.00 -13.16
-0.07 0.14 0.29 1.08 -10.67
-0.01 0.20 0.29 1.16 -7.51
0.13 0.22 0.29 1.22 -2.58
0.22 0.21 0.29 1.27 2.42
0.26 0.16 0.27 1.30 6.05
0.22 0.14 0.26 1.33 10.65
0.18 0.14 0.26 1.34 15.84
0.16 0.18 0.26 1.35 21.17
0.14 0.21 0.25 1.34 23.74
0.11 0.20 0.24 1.33 24.12
0.07 0.19 0.22 1.32 24.26
0.07 0.19 0.22 1.29 26.40
0.11 0.20 0.22 1.27 29.92
0.18 0.21 0.21 1.24 33.05
0.22 0.20 0.20 1.19 36.06
0.25 0.20 0.19 1.14 39.62
0.26 0.20 0.18 1.08 44.38
0.26 0.20 0.17 1.02 49.91
0.24 0.19 0.17 0.95 54.65
0.29 0.19 0.16 0.88 58.77
0.33 0.19 0.14 0.79 62.11
0.36 0.20 0.12 0.70 63.33
0.43 0.20 0.09 0.59 63.13
0.54 0.18 0.05 0.48 64.67
0.48 0.18 0.03 -0.11 82.82
0.50 0.19 0.00 -0.12 80.57
0.69 0.21 -0.05 -0.16 74.97
0.50 0.15 -0.11 -0.13 60.49
0.07 0.16 -0.15 -0.26 50.83
-0.06 0.21 -0.16 -0.38 45.09
0.03 0.19 -0.15 -0.51 47.84
-0.02 0.16 -0.14 -0.63 48.34
-0.06 0.12 -0.15 -0.73 44.65
-0.03 0.12 -0.15 -0.81 41.99
