=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.12.22 17:26:59 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit MPU6050 test!
MPU6050 Found!
Accelerometer range set to: +-8G
0.82 0.27 -0.24 -0.86 95.59
1.04 0.17 -0.33 -1.07 84.48
0.91 0.15 -0.46 -1.29 59.69
0.62 0.25 -0.55 -1.50 41.58
0.81 0.25 -0.61 -1.76 33.88
0.77 0.28 -0.70 -1.97 15.57
0.54 0.22 -0.76 -2.22 3.21
0.25 0.25 -0.77 -2.41 -4.35
-0.09 0.27 -0.74 -2.57 -5.54
0.19 0.23 -0.72 -2.75 -2.03
0.25 0.27 -0.72 -2.89 -6.04
0.10 0.38 -0.73 -3.01 -14.32
-0.18 0.38 -0.71 -3.11 -18.80
-0.22 0.24 -0.68 -3.19 -21.35
-0.02 0.11 -0.65 -3.28 -19.84
0.10 0.11 -0.64 -3.33 -23.02
-0.13 0.20 -0.64 -3.37 -30.40
-0.44 0.31 -0.59 -3.38 -30.94
-0.41 0.31 -0.53 -3.38 -27.28
-0.10 0.24 -0.49 -3.36 -24.03
-0.19 0.23 -0.48 -3.33 -29.07
-0.28 0.30 -0.45 -3.30 -30.69
-0.36 0.27 -0.41 -3.23 -30.73
-0.51 0.19 -0.36 -3.15 -30.73
-0.48 0.14 -0.31 -3.07 -30.09
-0.49 0.13 -0.27 -2.97 -29.48
-0.45 0.17 -0.21 -2.87 -24.80
-0.36 0.21 -0.18 -2.73 -23.67
-0.30 0.26 -0.15 -2.62 -22.57
-0.34 0.26 -0.13 -2.50 -24.75
-0.39 0.26 -0.11 -2.34 -28.47
-0.44 0.24 -0.08 -2.18 -30.65
-0.47 0.24 -0.06 -2.05 -33.59
-0.49 0.24 -0.04 0.15 -109.15
-0.51 0.27 -0.02 0.15 -106.76
-0.46 0.27 0.00 0.16 -104.15
-0.37 0.25 0.01 0.19 -103.31
-0.25 0.24 0.01 0.16 -101.99
-0.51 0.23 0.01 0.19 -107.07
-0.91 0.27 0.03 0.18 -110.89
-1.68 0.24 0.07 0.25 -124.08
-2.37 0.18 0.14 0.51 -144.32
-3.06 0.12 0.26 0.82 -159.27
-7.16 -0.48 0.39 1.29 -238.71
-12.91 -0.19 0.82 2.12 -299.30
-9.61 0.80 1.62 2.91 -168.46
-7.51 -0.33 2.40 3.98 -63.48
-3.93 0.08 2.98 5.09 35.43
-2.02 0.68 3.20 5.96 95.00
-0.49 0.32 3.32 6.76 153.71
0.76 0.04 3.47 7.43 245.59
1.62 0.03 3.50 7.97 318.21
2.28 0.14 3.44 8.45 375.34
2.96 0.53 3.22 8.75 402.11
3.40 0.50 2.97 8.86 423.56
3.89 0.47 2.55 8.83 396.38
3.42 0.39 2.02 8.69 331.58
1.79 0.30 1.50 8.49 238.06
1.13 -0.05 1.30 8.24 216.56
1.20 -0.07 1.13 7.91 206.67
2.59 -0.07 0.88 7.57 191.56
3.55 0.50 0.53 7.07 164.66
2.75 0.18 0.21 6.60 125.66
1.72 -0.39 0.09 6.01 126.71
1.82 0.44 0.08 5.50 153.96
2.65 0.73 -0.01 4.96 172.23
2.19 0.53 -0.19 4.39 159.28
1.69 0.45 -0.29 3.69 165.54
1.66 0.10 -0.33 3.10 181.48
1.75 0.48 -0.42 2.37 188.31
1.52 -0.22 -0.62 1.66 159.74
1.99 -0.97 -0.70 1.05 162.30
2.78 -0.26 -0.75 0.42 186.82
2.18 0.52 -0.84 -0.23 192.21
2.54 0.49 -0.94 -1.02 204.87
2.49 0.77 -1.11 -1.70 191.20
1.73 0.73 -1.23 -2.37 180.30
1.42 0.01 -1.27 -3.28 188.42
2.97 0.72 -1.34 -3.94 200.76
2.51 1.86 -1.51 -4.61 183.74
1.06 0.66 -1.60 -5.25 159.50
1.37 0.52 -1.70 -6.00 150.03
0.29 -0.65 -1.83 -6.57 100.70
1.37 -2.40 -1.87 -7.11 89.80
2.59 -0.24 -2.01 -7.67 80.31
1.43 0.82 -2.19 -8.40 40.13
0.60 0.40 -2.17 -8.89 36.03
0.34 -0.33 -2.11 -9.32 35.35
0.66 -0.79 -2.15 -9.72 12.23
-0.16 0.04 -2.20 -10.12 -25.43
1.48 0.63 -2.21 -10.45 -21.05
1.01 0.91 -2.28 -10.75 -43.90
0.30 -0.02 -2.23 -11.07 -47.92
-0.06 -0.17 -2.07 -11.32 -26.05
-0.47 0.12 -2.04 -11.48 -49.26
-0.38 0.47 -1.98 -11.59 -60.56
-0.17 1.07 -2.00 -11.67 -89.91
-0.80 0.97 -2.04 -11.68 -135.89
-0.91 0.27 -1.95 -11.63 -147.43
-0.48 0.06 -1.91 -11.53 -168.05
-0.66 0.43 -1.87 -11.40 -186.60
-1.08 0.21 -1.79 -11.19 -206.24
-1.58 0.47 -1.51 -10.91 -176.51
-1.76 0.36 -1.20 -10.62 -132.69
-1.71 0.38 -0.87 -10.30 -80.14
-1.27 -0.03 -0.67 -9.88 -56.95
-1.58 -0.42 -0.48 -9.51 -38.29
-1.16 -0.32 -0.30 -9.12 -10.34
-0.34 0.15 -0.14 -8.74 23.90
-0.16 -0.02 -0.09 -8.23 28.33
-0.28 -0.03 -0.13 -7.87 12.22
-0.55 0.25 -0.17 -7.52 -11.11
-0.46 0.32 -0.24 -7.16 -39.77
-0.51 0.73 -0.31 -6.81 -71.20
-0.55 0.83 -0.37 -6.38 -104.88
-0.80 0.41 -0.42 -6.01 -137.55
-0.86 0.21 -0.41 -5.64 -154.06
-0.47 0.27 -0.29 -5.11 -137.66
-0.29 0.32 -0.21 -4.75 -123.89
-0.85 0.18 -0.12 -4.38 -115.79
-1.26 0.03 0.07 -4.00 -84.01
-1.05 -0.01 0.20 -3.54 -68.04
-0.92 0.06 0.30 -3.15 -54.68
-0.50 0.26 0.33 -2.78 -52.39
-0.52 0.32 0.34 -2.42 -54.97
-0.47 0.30 0.37 -2.00 -53.19
-0.22 0.21 0.36 -1.60 -58.46
-0.26 0.13 0.33 -1.29 -69.19
-0.36 0.19 0.30 -0.98 -80.73
-0.35 0.26 0.27 -0.69 -91.94
-0.49 0.28 0.24 -0.34 -108.68
-0.55 0.28 0.22 -0.05 -121.50
-0.61 0.23 0.21 0.23 -131.65
-0.58 0.25 0.22 0.56 -139.16
-0.58 0.15 0.25 0.90 -141.85
-0.77 0.10 0.29 1.17 -140.01
-1.11 0.21 0.42 1.46 -120.12
-1.03 0.16 0.52 1.75 -104.03
-1.15 0.21 0.59 2.10 -100.79
-1.42 0.35 0.70 2.40 -89.24
-1.24 0.51 0.79 2.71 -78.08
-1.03 0.51 0.84 3.08 -76.07
-0.53 0.20 0.86 3.42 -75.08
-0.41 0.21 0.85 3.70 -74.07
-0.24 0.06 0.85 3.95 -71.74
-0.64 0.40 0.84 4.20 -75.83
-0.23 0.02 0.84 4.42 -72.70
-0.27 -0.02 0.82 4.67 -74.22
-0.62 0.10 0.81 4.91 -82.43
-0.50 0.01 0.80 5.10 -83.80
-0.67 0.22 0.82 5.28 -81.31
-0.22 0.11 0.86 5.45 -65.38
-0.65 0.62 0.90 5.64 -59.04
-0.12 0.52 0.89 5.79 -53.65
-0.41 -0.21 0.87 5.92 -55.36
-0.08 0.25 0.86 6.03 -51.57
-0.42 0.32 0.86 6.18 -51.07
-0.16 0.30 0.87 6.27 -43.13
-0.26 0.17 0.87 6.35 -36.96
0.02 0.52 0.87 6.41 -27.57
0.36 0.32 0.86 6.45 -17.07
0.22 -0.14 0.82 6.47 -15.36
-0.02 0.20 0.75 6.47 -25.39
-0.01 0.20 0.70 6.46 -32.10
-0.16 0.29 0.67 6.45 -36.84
0.03 0.30 0.64 6.42 -37.01
0.00 0.33 0.62 6.38 -34.01
0.22 0.27 0.62 6.34 -25.19
-0.18 0.17 0.61 6.29 -25.10
0.16 0.15 0.61 6.22 -15.08
-0.15 0.31 0.62 6.15 -8.02
0.09 0.27 0.63 6.08 3.71
-0.04 0.45 0.64 5.99 12.31
0.16 0.59 0.63 5.90 19.45
0.68 0.56 0.62 5.77 36.48
0.55 0.34 0.59 5.64 44.67
0.55 0.38 0.50 5.50 32.97
0.46 -0.03 0.39 5.34 15.86
0.19 -0.28 0.28 5.19 -7.52
-0.08 -0.19 0.20 5.01 -28.00
-0.23 0.05 0.19 4.85 -29.39
-0.41 0.32 0.22 4.72 -26.86
-0.17 0.42 0.24 4.61 -21.28
0.04 0.35 0.25 4.49 -16.09
0.06 0.13 0.25 4.35 -9.59
-0.06 0.12 0.27 4.24 -2.35
0.34 0.23 0.27 4.12 4.92
0.72 0.32 0.22 3.98 7.25
0.63 0.35 0.17 3.84 5.07
0.43 0.39 0.13 3.65 3.96
0.48 0.40 0.10 3.46 8.38
0.36 0.46 0.10 3.30 13.52
-0.01 0.46 0.13 3.15 23.08
0.05 0.41 0.16 3.00 36.28
0.12 0.23 0.20 2.85 49.89
0.10 -0.07 0.19 2.67 51.16
-0.06 -0.30 0.14 2.50 39.29
0.10 -0.12 0.08 2.36 25.72
0.10 0.18 0.02 2.23 12.08
0.01 0.27 -0.02 -0.13 81.34
0.21 0.28 -0.04 -0.15 73.91
0.15 0.23 -0.06 -0.12 64.78
-0.04 0.19 -0.06 -0.11 60.68
0.22 0.24 -0.05 -0.11 61.99
0.54 0.29 -0.08 -0.17 59.73
0.47 0.27 -0.12 -0.29 56.72
0.27 0.22 -0.14 -0.41 54.94
0.04 0.20 -0.12 -0.53 58.98
0.27 0.23 -0.10 -0.64 67.80
0.51 0.31 -0.12 -0.79 72.03
0.89 0.28 -0.20 -0.92 62.74
0.78 0.24 -0.30 -1.06 46.34
0.41 0.23 -0.38 -1.20 28.93
0.09 0.25 -0.43 -1.35 13.54
0.05 0.24 -0.47 -1.49 0.31
-0.03 0.23 -0.50 -1.59 -14.51
-0.15 0.22 -0.51 -1.68 -25.97
-0.22 0.21 -0.50 -1.74 -31.84
-0.23 0.23 -0.48 -1.79 -34.85
-0.27 0.24 -0.44 -1.83 -34.15
-0.26 0.25 -0.41 -1.86 -32.88
-0.35 0.24 -0.36 -1.86 -30.48
-0.37 0.23 -0.30 -1.85 -24.20
-0.38 0.22 -0.26 -1.82 -21.94
-0.35 0.21 -0.23 -1.78 -21.64
-0.36 0.21 -0.20 -1.74 -22.66
-0.37 0.21 -0.18 -1.68 -26.72
-0.39 0.21 -0.16 -1.60 -30.35
-0.40 0.21 -0.14 -1.51 -34.04
-0.44 0.22 -0.12 -1.42 -36.72
-0.48 0.21 -0.09 -1.33 -37.63
-0.47 0.22 -0.06 -1.23 -38.68
-0.49 0.22 -0.03 0.13 -82.02
-0.48 0.21 0.02 0.12 -73.61
-0.44 0.22 0.05 0.12 -68.10
-0.33 0.23 0.06 0.12 -65.33
-0.26 0.21 0.06 0.12 -66.17
-0.24 0.22 0.06 0.17 -68.37
-0.26 0.20 0.06 0.12 -65.12
-0.30 0.20 0.08 0.12 -61.07
-0.27 0.21 0.09 0.24 -60.72
-0.23 0.22 0.11 0.36 -59.83
-0.33 0.23 0.12 0.50 -60.57
-0.52 0.21 0.16 0.63 -58.55
-0.64 0.19 0.22 0.79 -52.20
-0.54 0.19 0.29 0.92 -38.72
-0.41 0.22 0.34 1.05 -30.37
-0.30 0.24 0.37 1.20 -23.90
-0.37 0.24 0.41 1.33 -15.72
-0.31 0.19 0.46 1.45 -3.46
-0.14 0.22 0.51 1.56 13.48
0.09 0.26 0.55 1.67 31.19
0.16 0.24 0.57 1.76 43.84
0.23 0.22 0.57 1.81 55.56
0.22 0.21 0.56 1.85 62.39
0.23 0.20 0.54 1.87 66.83
0.25 0.20 0.52 1.88 70.80
0.28 0.22 0.50 1.87 74.63
0.27 0.24 0.48 1.85 80.30
0.22 0.24 0.48 1.81 87.44
0.35 0.22 0.46 1.76 94.80
0.58 0.24 0.42 1.67 99.82
0.93 0.25 0.32 1.58 92.51
0.79 0.22 0.16 1.46 63.43
0.57 0.18 0.08 1.34 52.44
0.64 0.22 0.04 1.21 52.83
0.88 0.25 -0.03 -0.18 92.75
0.95 0.32 -0.11 -0.16 79.43
0.81 0.35 -0.15 -0.37 81.55
0.62 0.41 -0.15 -0.55 93.50
0.76 0.38 -0.13 -0.73 110.30
1.02 0.21 -0.15 -0.97 121.85
0.99 0.11 -0.22 -1.18 118.43
1.09 0.24 -0.29 -1.41 113.62
1.07 0.32 -0.38 -1.64 104.82
0.80 0.34 -0.50 -1.93 81.77
0.66 0.19 -0.58 -2.20 68.91
1.09 0.10 -0.65 -2.44 60.88
0.89 0.14 -0.77 -2.67 35.52
0.65 0.11 -0.84 -2.95 20.01
0.61 0.03 -0.88 -3.16 12.26
0.52 0.13 -0.92 -3.37 0.65
0.22 0.13 -0.95 -3.55 -13.96
0.30 0.29 -0.94 -3.72 -14.41
0.28 0.35 -0.93 -3.94 -14.78
0.13 0.25 -0.92 -4.07 -20.37
0.13 0.11 -0.90 -4.19 -22.30
0.14 0.22 -0.88 -4.29 -22.73
-0.05 0.29 -0.86 -4.39 -26.40
-0.20 0.37 -0.83 -4.45 -29.98
-0.15 0.32 -0.79 -4.49 -31.12
-0.26 0.35 -0.75 -4.51 -33.44
-0.40 0.36 -0.71 -4.50 -37.11
-0.45 0.28 -0.68 -4.47 -43.19
-0.27 0.18 -0.65 -4.43 -46.70
-0.25 0.23 -0.61 -4.38 -47.18
-0.19 0.30 -0.59 -4.31 -52.00
-0.20 0.31 -0.60 -4.22 -63.75
-0.22 0.25 -0.62 -4.13 -79.01
-0.46 0.25 -0.61 -4.02 -92.05
-0.60 0.26 -0.54 -3.87 -90.90
-0.44 0.19 -0.46 -3.71 -80.56
-0.51 0.14 -0.36 -3.56 -66.43
-0.55 0.17 -0.22 -3.41 -41.39
-0.46 0.20 -0.11 -3.24 -19.98
-0.31 0.16 -0.02 -3.08 -2.03
-0.19 0.16 0.03 0.19 -99.47
-0.10 0.19 0.04 0.15 -93.23
-0.12 0.21 0.02 0.18 -96.75
-0.18 0.23 -0.02 0.15 -104.34
-0.23 0.25 -0.06 0.15 -115.47
-0.26 0.25 -0.11 0.18 -128.99
-0.29 0.26 -0.16 0.33 -149.84
-0.29 0.23 -0.20 0.48 -166.87
-0.37 0.23 -0.24 0.67 -189.44
-0.75 0.21 -0.26 0.84 -210.69
-0.77 0.27 -0.23 1.07 -219.58
-1.13 0.21 -0.12 1.27 -209.04
-1.64 0.18 0.12 1.56 -173.32
-1.59 0.25 0.52 1.82 -86.34
-1.56 0.05 0.82 2.09 -25.47
-1.42 0.14 1.05 2.36 25.21
-0.55 0.46 1.24 2.67 76.13
-0.68 0.60 1.31 2.91 97.12
-0.47 0.45 1.34 3.17 110.29
0.22 0.21 1.33 3.36 123.79
0.44 0.15 1.27 3.50 130.33
0.57 0.13 1.15 3.62 119.28
0.94 0.29 0.88 3.68 71.16
0.93 0.12 0.59 3.70 14.68
0.82 0.09 0.27 3.70 -52.73
0.69 0.03 0.08 3.67 -91.52
0.28 0.11 -0.04 -0.03 8.06
0.22 0.12 -0.10 -0.03 -6.82
0.08 0.25 -0.12 -0.06 -11.64
-0.16 0.32 -0.10 -0.08 -10.17
-0.12 0.29 -0.08 -0.10 -6.65
-0.14 0.19 -0.06 -0.01 -8.19
-0.14 0.13 -0.05 -0.01 -10.02
-0.17 0.16 -0.06 -0.00 -14.65
-0.15 0.17 -0.07 0.01 -22.34
-0.18 0.18 -0.09 0.01 -31.18
-0.23 0.21 -0.11 0.02 -40.51
-0.28 0.24 -0.13 0.04 -52.33
-0.15 0.22 -0.14 0.07 -60.62
-0.07 0.22 -0.16 0.11 -69.28
-0.24 0.24 -0.18 0.15 -80.03
-0.32 0.23 -0.15 0.20 -79.96
-0.35 0.18 -0.10 0.27 -72.07
-0.38 0.17 -0.01 0.34 -54.93
-0.38 0.22 0.07 0.07 -28.09
-0.29 0.26 0.14 0.09 -11.48
-0.14 0.29 0.19 0.15 0.94
-0.13 0.27 0.19 0.22 2.82
-0.07 0.26 0.18 0.28 0.43
0.04 0.24 0.15 0.33 -6.60
0.15 0.25 0.11 0.39 -14.02
-0.25 0.26 0.09 0.45 -23.03
-0.51 0.24 0.11 0.06 -9.61
-0.69 0.22 0.16 0.13 -5.99
-0.60 0.22 0.19 0.21 -7.04
-0.45 0.27 0.17 0.29 -17.58
-0.41 0.28 0.12 0.39 -37.97
-0.62 0.21 0.09 0.49 -55.37
-0.67 0.18 0.10 0.62 -65.30
-0.57 0.19 0.12 0.74 -68.17
-0.39 0.17 0.13 0.86 -69.68
-0.47 0.18 0.14 1.00 -75.00
-0.62 0.18 0.18 1.13 -74.35
-0.86 0.23 0.23 1.27 -70.96
-0.87 0.24 0.31 1.42 -63.31
-0.91 0.21 0.40 1.58 -48.27
-0.76 0.17 0.50 1.81 -32.58
-0.48 0.19 0.60 1.97 -8.33
-0.19 0.26 0.70 2.11 23.22
-0.06 0.19 0.76 2.24 45.95
0.05 0.17 0.80 2.34 65.16
0.08 0.18 0.82 2.45 81.02
0.18 0.21 0.82 2.51 92.23
0.37 0.22 0.79 2.55 100.05
0.69 0.25 0.73 2.56 102.48
0.94 0.26 0.65 2.53 103.10
0.98 0.26 0.52 2.47 92.62
0.69 0.19 0.35 2.39 60.99
0.32 0.17 0.22 2.30 32.85
0.09 0.14 0.12 2.22 10.77
0.02 0.16 0.04 2.12 -10.19
-0.07 0.13 0.01 -0.08 54.85
-0.24 0.18 0.04 -0.08 55.99
0.23 0.27 0.08 -0.07 69.01
0.56 0.31 0.08 -0.08 76.99
0.59 0.31 0.06 -0.11 81.79
0.29 0.27 0.08 -0.10 87.13
0.00 0.22 0.13 -0.10 99.49
-0.10 0.19 0.21 -0.19 120.79
0.06 0.23 0.29 -0.28 148.78
0.46 0.23 0.34 -0.43 173.67
1.19 0.25 0.30 -0.57 186.22
1.27 0.24 0.16 -0.73 173.08
1.30 0.22 0.01 -0.92 153.97
1.22 0.18 -0.19 -0.25 88.64
1.14 0.18 -0.37 -0.47 55.51
0.46 0.25 -0.52 -0.68 17.46
-0.12 0.19 -0.54 -0.87 5.78
-0.06 0.26 -0.49 -1.10 15.45
0.39 0.39 -0.47 -1.27 23.11
0.60 0.49 -0.53 -1.43 12.89
0.43 0.59 -0.56 -1.59 6.65
0.19 0.18 -0.53 -1.74 11.14
0.65 0.12 -0.48 -1.91 33.48
0.84 0.07 -0.46 -2.07 47.55
0.62 0.03 -0.44 -2.22 57.48
0.38 0.07 -0.43 -2.41 63.67
0.35 0.17 -0.42 -2.55 69.30
0.47 0.27 -0.42 -2.72 72.37
0.45 0.27 -0.49 -2.86 56.78
0.44 0.29 -0.54 -3.00 47.29
0.48 0.24 -0.56 -3.13 43.04
0.53 0.14 -0.60 -3.29 35.44
0.49 0.17 -0.66 -3.41 22.99
0.19 0.15 -0.69 -3.55 9.74
0.12 0.28 -0.70 -3.65 4.03
0.19 0.31 -0.70 -3.74 -0.90
0.14 0.22 -0.71 -3.83 -9.41
-0.03 0.13 -0.72 -3.89 -19.66
0.03 0.10 -0.71 -3.94 -24.39
-0.01 0.19 -0.70 -3.97 -28.32
-0.18 0.19 -0.69 -3.99 -36.24
-0.28 0.21 -0.67 -3.99 -43.02
-0.39 0.25 -0.64 -3.97 -46.95
-0.39 0.33 -0.59 -3.93 -47.66
-0.44 0.34 -0.56 -3.87 -51.80
-0.56 0.30 -0.51 -3.78 -55.88
-0.72 0.31 -0.47 -3.68 -60.33
-0.72 0.29 -0.41 -3.56 -62.97
-0.75 0.26 -0.33 -3.42 -55.63
-0.69 0.26 -0.23 -3.24 -45.34
-0.56 0.25 -0.13 -3.05 -30.78
-0.31 0.21 -0.03 -2.89 -10.42
-0.12 0.22 0.02 0.15 -99.54
-0.08 0.24 0.04 0.15 -88.73
-0.12 0.28 0.05 0.17 -83.40
-0.17 0.26 0.05 0.14 -80.12
-0.18 0.23 0.05 0.14 -79.15
-0.18 0.20 0.04 0.16 -81.40
-0.21 0.20 0.02 0.13 -82.59
-0.20 0.22 0.01 0.16 -85.82
-0.17 0.25 -0.01 0.13 -88.87
-0.15 0.25 -0.03 0.13 -93.13
-0.15 0.25 -0.05 0.12 -97.30
-0.16 0.25 -0.07 0.12 -102.87
-0.18 0.24 -0.09 0.15 -107.26
-0.18 0.24 -0.10 0.30 -115.31
-0.18 0.24 -0.11 0.42 -122.35
-0.23 0.22 -0.11 0.54 -129.44
-0.50 0.24 -0.12 0.70 -141.81
-0.55 0.24 -0.09 0.84 -145.35
-0.65 0.25 -0.05 1.00 -145.23
-1.26 0.19 0.09 0.21 -95.27
-1.58 0.08 0.28 0.41 -67.28
-1.25 0.03 0.50 0.67 -24.23
-0.59 0.33 0.65 0.88 10.86
-0.28 0.38 0.68 1.07 21.30
-0.29 0.32 0.67 1.29 19.14
-0.36 0.24 0.65 1.46 15.45
-0.28 0.25 0.65 1.62 16.31
0.06 0.28 0.63 1.76 17.26
0.11 0.29 0.59 1.88 15.36
0.19 0.23 0.54 2.03 10.01
0.17 0.19 0.48 2.11 0.70
0.16 0.22 0.42 2.18 -8.81
0.02 0.24 0.36 2.24 -19.54
0.05 0.23 0.32 2.29 -28.05
-0.07 0.22 0.28 2.35 -35.90
-0.12 0.24 0.28 2.39 -36.39
-0.01 0.25 0.27 2.43 -35.79
0.01 0.18 0.26 2.46 -34.83
0.01 0.20 0.25 2.49 -34.41
0.00 0.24 0.24 2.51 -35.42
-0.09 0.26 0.24 2.53 -34.48
-0.07 0.30 0.25 2.54 -30.93
-0.05 0.25 0.26 2.55 -26.28
-0.01 0.21 0.27 2.56 -19.39
0.07 0.23 0.28 2.56 -12.67
0.02 0.22 0.30 2.55 -5.46
0.16 0.24 0.31 2.54 3.51
0.22 0.24 0.31 2.52 10.93
0.26 0.24 0.29 2.47 12.95
0.26 0.26 0.26 2.43 11.67
0.25 0.27 0.22 2.38 9.52
0.27 0.25 0.19 2.32 7.47
0.31 0.24 0.17 2.26 8.37
0.33 0.19 0.15 2.15 10.98
0.36 0.18 0.12 2.07 12.01
0.48 0.22 0.09 1.98 13.57
0.60 0.25 0.04 1.88 10.68
0.56 0.27 -0.02 -0.11 70.19
0.42 0.23 -0.07 -0.14 60.28
0.47 0.21 -0.10 -0.12 54.11
0.46 0.26 -0.13 -0.24 52.42
0.45 0.22 -0.17 -0.39 46.85
0.57 0.24 -0.22 -0.52 42.06
0.51 0.21 -0.27 -0.68 36.04
0.45 0.23 -0.33 -0.81 25.04
0.43 0.25 -0.37 -0.95 17.26
0.39 0.26 -0.40 -1.07 11.54
0.28 0.29 -0.42 -1.20 6.40
0.17 0.27 -0.43 -1.33 3.17
0.09 0.23 -0.43 -1.46 -0.08
0.01 0.18 -0.43 -1.55 -4.07
-0.10 0.14 -0.43 -1.63 -8.69
-0.12 0.23 -0.42 -1.69 -14.10
-0.05 0.21 -0.43 -1.75 -20.83
-0.07 0.24 -0.43 -1.80 -27.81
-0.09 0.28 -0.44 -1.83 -35.09
-0.04 0.25 -0.45 -1.85 -43.61
0.05 0.24 -0.46 -1.86 -51.42
-0.12 0.22 -0.48 -1.87 -62.27
-0.24 0.22 -0.49 -1.86 -74.60
-0.28 0.22 -0.49 -1.83 -83.71
-0.46 0.23 -0.47 -1.79 -91.08
-0.46 0.22 -0.42 -1.72 -91.15
-0.39 0.23 -0.37 -1.64 -88.75
-0.49 0.24 -0.30 -1.56 -80.23
-0.64 0.23 -0.20 -1.44 -68.87
-0.53 0.20 -0.10 -1.33 -51.44
-0.43 0.23 0.01 -1.19 -28.35
-0.22 0.16 0.07 0.11 -57.50
-0.02 0.11 0.08 0.11 -50.27
0.03 0.12 0.07 0.21 -53.45
0.05 0.19 0.03 0.11 -54.75
-0.05 0.24 -0.01 0.09 -63.78
-0.22 0.29 -0.05 0.11 -75.99
-0.20 0.25 -0.07 0.09 -82.16
-0.23 0.23 -0.09 0.10 -90.32
-0.17 0.22 -0.13 0.21 -104.04
0.02 0.21 -0.16 0.31 -115.40
-0.10 0.19 -0.20 0.41 -131.06
-0.59 0.17 -0.19 0.52 -140.09
-0.95 0.22 -0.11 0.67 -137.26
-0.96 0.28 0.04 0.85 -114.30
-0.75 0.09 0.17 0.16 -58.20
-0.72 0.12 0.30 0.32 -32.40
-0.29 0.25 0.43 0.47 1.16
0.12 0.31 0.46 0.64 15.12
0.32 0.34 0.45 0.75 22.49
0.37 0.29 0.39 0.84 15.42
0.26 -0.06 0.24 0.92 -18.01
-0.32 -0.07 0.16 1.02 -44.00
-0.90 0.08 0.18 1.13 -53.26
-1.02 0.18 0.24 1.24 -50.93
-0.68 0.34 0.30 1.36 -44.33
-0.28 0.43 0.30 1.48 -44.66
0.07 0.42 0.26 1.61 -53.49
-0.10 0.40 0.21 1.70 -65.07
-0.52 0.28 0.23 1.81 -67.05
-0.45 0.19 0.29 1.93 -56.48
-0.32 0.14 0.35 2.04 -43.44
-0.23 0.04 0.38 2.15 -34.49
-0.15 0.15 0.40 2.24 -28.43
-0.19 0.31 0.41 2.33 -24.09
-0.07 0.03 0.43 2.40 -16.83
-0.21 -0.09 0.43 2.49 -15.76
-0.32 0.00 0.44 2.55 -14.54
-0.35 0.20 0.46 2.63 -10.89
-0.13 0.38 0.47 2.69 -4.15
0.08 0.46 0.46 2.74 -1.46
0.17 0.48 0.44 2.78 -0.17
0.13 0.35 0.42 2.80 2.33
0.13 0.20 0.42 2.81 8.56
0.24 -0.00 0.41 2.81 13.46
0.37 0.05 0.35 2.79 7.10
0.17 0.16 0.26 2.76 -11.03
0.27 0.26 0.15 2.72 -33.46
-0.68 0.36 0.06 2.71 -69.41
-0.98 0.34 0.12 0.01 25.78
-0.99 0.21 0.24 0.04 44.70
-0.49 0.17 0.37 0.07 74.37
0.00 0.18 0.40 0.11 86.21
0.10 0.25 0.36 0.12 83.17
0.08 0.26 0.31 0.13 74.06
0.08 0.25 0.29 0.14 71.85
0.45 0.23 0.25 0.12 71.13
0.84 0.24 0.14 0.08 58.70
0.88 0.25 0.04 0.02 45.13
0.58 0.24 -0.07 -0.07 28.26
0.18 0.24 -0.15 -0.07 5.75
-0.02 0.24 -0.20 -0.13 -11.22
-0.14 0.23 -0.23 -0.20 -24.28
-0.18 0.26 -0.24 -0.23 -31.88
-0.22 0.25 -0.22 -0.26 -32.38
-0.30 0.21 -0.17 -0.28 -27.12
-0.25 0.21 -0.10 -0.29 -13.68
-0.14 0.21 -0.06 -0.29 -4.95
-0.11 0.21 -0.04 0.00 -10.94
-0.12 0.24 -0.02 0.00 -7.94
-0.05 0.24 -0.01 0.01 -5.22
-0.05 0.23 -0.00 0.01 -5.51
-0.11 0.21 0.00 0.01 -5.99
-0.12 0.20 0.02 0.01 -3.43
-0.12 0.21 0.04 0.01 0.50
-0.07 0.23 0.05 0.01 4.99
-0.01 0.23 0.06 0.01 9.34
0.01 0.24 0.07 0.01 13.22
0.02 0.21 0.08 0.01 17.76
0.03 0.20 0.10 0.01 23.62
0.05 0.21 0.11 0.01 28.51
0.10 0.21 0.12 0.00 33.61
0.10 0.22 0.12 -0.00 38.15
0.12 0.21 0.13 -0.01 42.37
0.20 0.21 0.12 -0.04 46.51
0.34 0.22 0.11 -0.06 50.99
0.41 0.22 0.09 -0.11 52.74
0.39 0.24 0.08 -0.05 53.44
0.47 0.26 0.07 -0.06 59.53
0.46 0.26 0.06 -0.08 62.82
0.35 0.26 0.05 -0.07 63.84
0.27 0.27 0.05 -0.08 66.51
0.17 0.24 0.07 -0.08 71.62
0.11 0.23 0.09 -0.08 78.66
0.16 0.23 0.12 -0.19 91.71
0.25 0.25 0.14 -0.28 103.77
0.39 0.26 0.15 -0.38 113.93
0.61 0.26 0.13 -0.48 119.32
0.90 0.24 0.03 -0.63 111.14
0.98 0.25 -0.08 -0.14 73.48
0.84 0.22 -0.22 -0.30 48.21
